"LTER","site","Year","Discharge_cms","Conc_mgL","FNConc_mgL","Flux_106_kg_y","FNFlux_106_kg_y","drainSqKm","Yield","FNYield"
"NWT","ALBION",1982,0.2011,0.961,0.988,0.00553,0.00521,7.1,0.000778873,0.000733803
"NWT","ALBION",1983,0.218,0.986,0.965,0.00702,0.00509,7.1,0.000988732,0.000716901
"NWT","ALBION",1984,0.3151,1.42,0.95,0.01453,0.00498,7.1,0.002046479,0.000701408
"NWT","ALBION",1985,0.1233,0.903,0.943,0.00356,0.00496,7.1,0.000501408,0.000698592
"NWT","ALBION",1986,0.1266,0.9,0.939,0.00325,0.00492,7.1,0.000457746,0.000692958
"NWT","ALBION",1987,0.0599,0.897,0.935,0.0017,0.00485,7.1,0.000239437,0.000683099
"NWT","ALBION",1988,0.0755,0.888,0.928,0.00201,0.00465,7.1,0.000283099,0.00065493
"NWT","ALBION",1989,0.107,0.929,0.941,0.00276,0.00447,7.1,0.000388732,0.000629577
"NWT","ALBION",1990,0.1812,0.969,0.973,0.00529,0.00445,7.1,0.00074507,0.000626761
"NWT","ALBION",1991,0.1662,0.923,1.006,0.00461,0.00465,7.1,0.000649296,0.00065493
"NWT","ALBION",1992,0.1726,1.049,1.035,0.00505,0.0049,7.1,0.000711268,0.000690141
"NWT","ALBION",1993,0.234,1.132,1.057,0.0074,0.00517,7.1,0.001042254,0.000728169
"NWT","ALBION",1994,0.133,1.019,1.083,0.00426,0.00537,7.1,6e-04,0.000756338
"NWT","ALBION",1995,0.2081,1.035,1.099,0.00659,0.00547,7.1,0.000928169,0.000770423
"NWT","ALBION",1996,0.1742,1.099,1.1,0.00615,0.00521,7.1,0.000866197,0.000733803
"NWT","ALBION",1997,0.2073,1.055,1.097,0.00692,0.0053,7.1,0.000974648,0.000746479
"NWT","ALBION",1998,0.1626,1.1,1.111,0.00555,0.00544,7.1,0.00078169,0.000766197
"NWT","ALBION",1999,0.1849,1.148,1.143,0.00591,0.0057,7.1,0.000832394,0.000802817
"NWT","ALBION",2000,0.1381,1.195,1.194,0.00529,0.0061,7.1,0.00074507,0.000859155
"NWT","ALBION",2001,0.1346,1.248,1.24,0.00523,0.0064,7.1,0.00073662,0.000901408
"NWT","ALBION",2002,0.0861,1.278,1.273,0.00346,0.00664,7.1,0.000487324,0.000935211
"NWT","ALBION",2003,0.1649,1.297,1.297,0.00646,0.00678,7.1,0.000909859,0.00095493
"NWT","ALBION",2004,0.1543,1.303,1.312,0.00631,0.0069,7.1,0.000888732,0.000971831
"NWT","ALBION",2005,0.1841,1.299,1.313,0.00758,0.00684,7.1,0.001067606,0.00096338
"NWT","ALBION",2006,0.1884,1.286,1.294,0.00743,0.00675,7.1,0.001046479,0.000950704
